Nomor,Operasi,Volume,Jumlah_Client_Worker_Pool,Jumlah_Server_Worker_Pool,Waktu_Total_Per_Client,Throughput_Per_Client,Client_Worker_Sukses,Client_Worker_Gagal,Server_Worker_Sukses,Server_Worker_Gagal,Execution_Mode,Server_Type,Throughput_Bytes_Per_Second,Throughput_MB_Per_Second,Success_Rate,Error_Message,Total_Time
22,upload,50,5,1,0.6915198802947998,246363488.79634953,5,0,5,0,thread,thread,246363488.79634953,234.95053176531746,1.0,,1.0640537738800049
23,download,50,5,5,0.009624195098876954,1449819.773693889,5,0,5,0,thread,thread,1449819.773693889,1.3826558815897836,1.0,,0.0211336612701416
24,upload,50,5,5,0.6208048820495605,252627836.5534713,5,0,5,0,thread,thread,252627836.5534713,240.9246793303216,1.0,,1.0376687049865723
25,download,50,5,10,0.006028556823730468,1507967.0342513171,5,0,5,0,thread,thread,1507967.0342513171,1.438109430552785,1.0,,0.02031874656677246
26,upload,50,5,10,0.561251449584961,250686645.63976288,5,0,5,0,thread,thread,250686645.63976288,239.0734154126767,1.0,,1.0457038879394531
27,download,50,10,5,0.004753565788269043,3056569.736234986,10,0,10,0,thread,thread,3056569.736234986,2.9149720537519324,1.0,,0.02004861831665039
28,upload,50,10,5,1.137829327583313,212621999.4583466,10,0,10,0,thread,thread,212621999.4583466,202.77213998636876,1.0,,2.4658219814300537
29,download,50,20,10,0.0,0.0,0,20,0,20,thread,thread,0.0,0.0,0.0,,4.152604103088379
30,upload,50,20,10,0.5720236301422119,25919397.171786383,18,2,18,2,thread,thread,25919397.171786383,24.718663379465468,0.9,,36.409735679626465
31,download,50,50,20,0.0,0.0,0,50,0,50,thread,thread,0.0,0.0,0.0,,12.287900447845459
32,upload,50,50,20,0.5555313135448255,12074808.473786186,19,31,19,31,thread,thread,12074808.473786186,11.515434716974436,0.38,,82.49797105789185
33,download,100,1,1,0.03334760665893555,126365.14581028387,1,0,1,0,thread,thread,126365.14581028387,0.12051119404819857,1.0,,0.04848647117614746
34,upload,100,1,1,0.7598855495452881,137840413.67683378,1,0,1,0,thread,thread,137840413.67683378,131.45486228640917,1.0,,0.7607173919677734
35,download,100,1,5,0.0039055347442626953,1287371.0353671976,1,0,1,0,thread,thread,1287371.0353671976,1.2277326921150185,1.0,,0.004759311676025391
36,upload,100,1,5,0.6165051460266113,169774200.81334803,1,0,1,0,thread,thread,169774200.81334803,161.9092949040871,1.0,,0.6176297664642334
37,download,100,5,1,0.01713566780090332,1254344.1207364455,5,0,5,0,thread,thread,1254344.1207364455,1.1962357718815284,1.0,,0.02442312240600586
38,upload,100,5,1,1.46360239982605,238542230.10349414,5,0,5,0,thread,thread,238542230.10349414,227.49159822797216,1.0,,2.197883367538452
39,download,100,5,5,0.0033222198486328124,6271598.156969934,5,0,5,0,thread,thread,6271598.156969934,5.981062085122999,1.0,,0.0048847198486328125
40,upload,100,5,5,1.367596435546875,242732373.28510675,5,0,5,0,thread,thread,242732373.28510675,231.48763016234088,1.0,,2.159942626953125
41,download,100,5,10,0.003698444366455078,5549473.224496847,5,0,5,0,thread,thread,5549473.224496847,5.2923900837868185,1.0,,0.005520343780517578
42,upload,100,5,10,1.2555154800415038,256205281.70538872,5,0,5,0,thread,thread,256205281.70538872,244.3363968900573,1.0,,2.046359062194824
43,download,100,10,5,0.004090356826782227,8569023.210403468,10,0,10,0,thread,thread,8569023.210403468,8.172057352450818,1.0,,0.007150173187255859
44,upload,100,10,5,1.9573895454406738,251829726.37563825,10,0,10,0,thread,thread,251829726.37563825,240.1635421520598,1.0,,4.163829326629639
45,download,100,20,10,0.0,0.0,0,20,0,20,thread,thread,0.0,0.0,0.0,,4.171269655227661
46,upload,100,20,10,1.0112963003270767,44789193.0071322,17,3,17,3,thread,thread,44789193.0071322,42.714303023464396,0.85,,39.799314975738525
47,download,100,50,20,0.0,0.0,0,50,0,50,thread,thread,0.0,0.0,0.0,,11.555790424346924
48,upload,100,50,20,1.0626150019028608,19892161.36361716,17,33,17,33,thread,thread,19892161.36361716,18.970643390290412,0.34,,89.61214256286621
49,download,10,1,1,0.0,0.0,0,1,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
50,upload,10,1,1,0.0,0.0,0,1,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
51,download,10,1,5,0.0,0.0,0,1,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
52,upload,10,1,5,0.0,0.0,0,1,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
53,download,10,5,1,0.0,0.0,0,5,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
54,upload,10,5,1,0.0,0.0,0,5,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
55,download,10,5,5,0.0,0.0,0,5,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
56,upload,10,5,5,0.0,0.0,0,5,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
57,download,10,5,10,0.0,0.0,0,5,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
58,upload,10,5,10,0.0,0.0,0,5,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
59,download,10,10,5,0.0,0.0,0,10,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
60,upload,10,10,5,0.0,0.0,0,10,0,1,process,process,0.0,0.0,0.0,Failed to start server after 3 attempts,0.0
